ID,Name,Group,SMILES,CorrosionRate,AvgProtectPercent
CORR1019,Benzotriazole,Triazole,C1=CC2=NNN=C2C=C1,0.20,98.00
CORR1020,2-Mercaptobenzothiazole,Thiazole,C1=CC=C2C(=C1)NC(=S)S2,0.22,97.43
CORR1021,2-undecyl-1-aminoethyl imidazoline,imidazoline,CCCCCCCCCCCC1=NCCN1C(C)N,0.29,96.88
CORR1022,2-undecyl-1-hydroxyethyl imidazoline,imidazoline,CCCCCCCCCCCC1=NCCN1CCO,0.33,95.91
CORR1023,"3-undecane-4-aryl-5-mercapto-1,2,4-triazole",fatty acid triazole,C1(=NC(=S)NN1)N,0.37,95.48
CORR1024,indole,aromatic heterocycle,C1=CC=C2C(=C1)C=CN2,0.44,95.44
CORR1025,1H-benzotriazole,fatty acid triazole,C1=CC2=NNN=C2C=C1,0.53,95.44
CORR1026,"1,3-Benzothiazole ",fatty acid triazole,C1=CC=C2C(=C1)N=CS2,0.58,94.48
CORR1027,"4-Amino-5-mercapto-1,2,4-triazole ",fatty acid triazole,c1(=S)[nH]nc(n1N)NN,0.67,93.67
CORR1028,(1H-benzo[d]imidazol-2-yl)methanamine,Dimerized amido-amines,C1=CC=C2C(=C1)NC(=N2)CN,0.67,93.16
CORR1029,Amino Trimethylene Phosphonic Acid (ATMP),Phosphonic acid,C(CP(=O)(O)O)N,0.73,92.49
CORR1030,Phosphoric Acid,Phosphoric acid,O=P(O)(O)O,0.75,91.81
CORR1031,Triazole derivatives,Triazole,C1=CC=C(N2C=NC=N2)N=C1,0.84,90.88
CORR1032,Imidazole derivatives,Imidazole,C1=CN=CN1,0.88,89.93
CORR1033,Organic Phosphonates,Phosphonate,C(CP(=O)(O)O)(C(=O)O)O,0.92,89.71
CORR1034,Thiourea derivatives,Thiourea,C(=S)(N)N,0.95,89.18
CORR1035,Polyethylene Glycol (PEG) derivatives,Polyether,OCCOCCOCCO,1.01,88.34
CORR1036,Orthophosphoric Acid,Phosphoric acid,OP(O)(O)=O,1.04,88.33
CORR1037,Ethanolamine,Amine,NC(CO)O,1.05,87.53
CORR1038,Benzotriazole,Triazole,C1=CC2=NNN=C2C=C1,0.20,98.00
CORR1039,2-Mercaptobenzothiazole,Thiazole,C1=CC=C2C(=C1)NC(=S)S2,0.25,97.57
CORR1040,2-undecyl-1-aminoethyl imidazoline,imidazoline,CCCCCCCCCCCC1=NCCN1C(C)N,0.29,97.15
CORR1041,2-undecyl-1-hydroxyethyl imidazoline,imidazoline,CCCCCCCCCCCC1=NCCN1CCO,0.33,96.45
CORR1042,"3-undecane-4-aryl-5-mercapto-1,2,4-triazole",fatty acid triazole,C1(=NC(=S)NN1)N,0.37,96.13
CORR1043,indole,aromatic heterocycle,C1=CC=C2C(=C1)C=CN2,0.37,95.33
CORR1044,1H-benzotriazole,fatty acid triazole,C1=CC2=NNN=C2C=C1,0.39,94.53
CORR1045,"1,3-Benzothiazole ",fatty acid triazole,C1=CC=C2C(=C1)N=CS2,0.46,94.19
CORR1046,"4-Amino-5-mercapto-1,2,4-triazole ",fatty acid triazole,c1(=S)[nH]nc(n1N)NN,0.46,94.10
CORR1047,(1H-benzo[d]imidazol-2-yl)methanamine,Dimerized amido-amines,C1=CC=C2C(=C1)NC(=N2)CN,0.53,93.49
CORR1048,Amino Trimethylene Phosphonic Acid (ATMP),Phosphonic acid,C(CP(=O)(O)O)N,0.62,92.64
CORR1049,Phosphoric Acid,Phosphoric acid,O=P(O)(O)O,0.72,92.11
CORR1050,Triazole derivatives,Triazole,C1=CC=C(N2C=NC=N2)N=C1,0.73,91.74
CORR1051,Imidazole derivatives,Imidazole,C1=CN=CN1,0.79,90.85
CORR1052,Organic Phosphonates,Phosphonate,C(CP(=O)(O)O)(C(=O)O)O,0.88,90.53
CORR1053,Thiourea derivatives,Thiourea,C(=S)(N)N,0.93,89.69
CORR1054,Polyethylene Glycol (PEG) derivatives,Polyether,OCCOCCOCCO,0.99,89.06
CORR1055,Orthophosphoric Acid,Phosphoric acid,OP(O)(O)=O,1.02,88.98
